ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2016/03,Auxílio Financeiro a Estudantes,2343370.0
2016/03,Auxílio Financeiro a Pesquisadores,23040.0
2016/03,Contribuições,0.0
2016/03,Despesas de Exercícios Anteriores,98164.15999999999
2016/03,Diárias - Civil,46809.9
2016/03,Equipamentos e Material Permanente,0.0
2016/03,Indenizações e Restituições,1167080.39
2016/03,Locação de Mão-de-Obra,3460706.14
2016/03,Material de Consumo,631199.47
2016/03,"Material, Bem ou Serviço para Distribuição",0.0
2016/03,Obras e Instalações,0.0
2016/03,Outros Auxílios Financeiros a Pessoas Físic,609953.3
2016/03,Outros Serviços de Terceiros - Pessoa Físic,339760.66
2016/03,Outros Serviços de Terceiros - Pessoa Juríd,15709611.43
2016/03,Passagens e Despesas com Locomoção,89665.95
2016/04,Auxílio Financeiro a Estudantes,6758527.0
2016/04,Auxílio Financeiro a Pesquisadores,670330.0
2016/04,Contribuições,0.0
2016/04,Despesas de Exercícios Anteriores,100551.15000000001
2016/04,Diárias - Civil,97740.0
2016/04,Equipamentos e Material Permanente,112575.28
2016/04,Indenizações e Restituições,1160535.07
2016/04,Locação de Mão-de-Obra,-6397.81
2016/04,Material de Consumo,198401.61
2016/04,Obras e Instalações,0.0
2016/04,Outros Auxílios Financeiros a Pessoas Físic,1188621.8
2016/04,Outros Serviços de Terceiros - Pessoa Físic,261472.21000000002
2016/04,Outros Serviços de Terceiros - Pessoa Juríd,1342985.03
2016/04,Passagens e Despesas com Locomoção,102700.0
2016/05,Auxílio Financeiro a Estudantes,4133537.0
2016/05,Auxílio Financeiro a Pesquisadores,426190.0
2016/05,Contribuições,940.0
2016/05,Despesas de Exercícios Anteriores,251090.99000000002
2016/05,Diárias - Civil,513630.0
2016/05,Equipamentos e Material Permanente,428102.73
2016/05,Indenizações e Restituições,1344147.38
2016/05,Locação de Mão-de-Obra,2565340.38
2016/05,Material de Consumo,421740.19
2016/05,"Material, Bem ou Serviço para Distribuição",21721.79
2016/05,Obras e Instalações,0.0
2016/05,Outros Auxílios Financeiros a Pessoas Físic,897319.6399999999
2016/05,Outros Serviços de Terceiros - Pessoa Físic,1551811.2599999998
2016/05,Outros Serviços de Terceiros - Pessoa Juríd,2062712.45
2016/05,Passagens e Despesas com Locomoção,594940.32
2016/06,Auxílio Financeiro a Estudantes,1281727.0
2016/06,Auxílio Financeiro a Pesquisadores,38400.0
2016/06,Contribuições,0.0
2016/06,Despesas de Exercícios Anteriores,361209.76
2016/06,Diárias - Civil,292452.8
2016/06,Equipamentos e Material Permanente,213251.65
2016/06,Indenizações e Restituições,1344299.66
2016/06,Locação de Mão-de-Obra,134273.98
2016/06,Material de Consumo,1260657.98
2016/06,Obras e Instalações,0.0
2016/06,Outros Auxílios Financeiros a Pessoas Físic,875284.61
2016/06,Outros Serviços de Terceiros - Pessoa Físic,427960.35
2016/06,Outros Serviços de Terceiros - Pessoa Juríd,11025582.750000002
2016/06,Passagens e Despesas com Locomoção,342670.0
2016/07,Auxílio Financeiro a Estudantes,6538953.0
2016/07,Auxílio Financeiro a Pesquisadores,0.0
2016/07,Contribuições,0.0
2016/07,Despesas de Exercícios Anteriores,247018.62
2016/07,Diárias - Civil,311373.42
2016/07,Equipamentos e Material Permanente,260002.15
2016/07,Indenizações e Restituições,1338783.3900000001
2016/07,Locação de Mão-de-Obra,925479.23
2016/07,Material de Consumo,427662.88999999996
2016/07,Obras e Instalações,0.0
2016/07,Outros Auxílios Financeiros a Pessoas Físic,889224.8099999999
2016/07,Outros Serviços de Terceiros - Pessoa Físic,406388.28
2016/07,Outros Serviços de Terceiros - Pessoa Juríd,20179772.98
2016/07,Passagens e Despesas com Locomoção,397528.48
2016/08,Auxílio Financeiro a Estudantes,296652.14
2016/08,Auxílio Financeiro a Pesquisadores,84400.9
2016/08,Contribuições,4000.0
2016/08,Despesas de Exercícios Anteriores,120866.23
2016/08,Diárias - Civil,179792.58
2016/08,Equipamentos e Material Permanente,2588486.42
2016/08,Indenizações e Restituições,1340967.68
2016/08,Locação de Mão-de-Obra,0.0
2016/08,Material de Consumo,782995.48
2016/08,"Material, Bem ou Serviço para Distribuição",0.0
2016/08,Obras e Instalações,0.0
2016/08,Outros Auxílios Financeiros a Pessoas Físic,876431.4299999999
2016/08,Outros Serviços de Terceiros - Pessoa Físic,452433.1
2016/08,Outros Serviços de Terceiros - Pessoa Juríd,636973.93
2016/08,Passagens e Despesas com Locomoção,266500.82
2016/08,Serviços de Consultoria,7825.0
2016/09,Auxílio Financeiro a Estudantes,153846.11
2016/09,Auxílio Financeiro a Pesquisadores,82019.06
2016/09,Contribuições,3308.0
2016/09,Despesas de Exercícios Anteriores,282844.16000000003
2016/09,Diárias - Civil,218489.62
2016/09,Equipamentos e Material Permanente,1434573.95
2016/09,Indenizações e Restituições,1352096.34
2016/09,Locação de Mão-de-Obra,-510827.88
2016/09,Material de Consumo,863322.2799999999
2016/09,"Material, Bem ou Serviço para Distribuição",0.0
2016/09,Outros Auxílios Financeiros a Pessoas Físic,879233.5199999999
2016/09,Outros Serviços de Terceiros - Pessoa Físic,126594.57
2016/09,Outros Serviços de Terceiros - Pessoa Juríd,3466924.41
2016/09,Passagens e Despesas com Locomoção,178225.12
2016/10,Auxílio Financeiro a Estudantes,610484.2
2016/10,Auxílio Financeiro a Pesquisadores,55210.64
2016/10,Contribuições,77077.04
2016/10,Despesas de Exercícios Anteriores,100549.7
2016/10,Diárias - Civil,227219.54
2016/10,Equipamentos e Material Permanente,7076827.52
2016/10,Indenizações e Restituições,1345597.09
2016/10,Locação de Mão-de-Obra,275176.16
2016/10,Material de Consumo,2199743.96
2016/10,"Material, Bem ou Serviço para Distribuição",88398.17
2016/10,Obras e Instalações,107926.12
2016/10,Outros Auxílios Financeiros a Pessoas Físic,872572.6599999999
2016/10,Outros Serviços de Terceiros - Pessoa Físic,452052.61
2016/10,Outros Serviços de Terceiros - Pessoa Juríd,5041187.1
2016/10,Passagens e Despesas com Locomoção,395205.75
2016/10,Serviços de Consultoria,0.0
2016/11,Auxílio Financeiro a Estudantes,3482160.96
2016/11,Auxílio Financeiro a Pesquisadores,225425.46
2016/11,Contribuições,32150.53
2016/11,Despesas de Exercícios Anteriores,287024.47000000003
2016/11,Diárias - Civil,75919.85
2016/11,Equipamentos e Material Permanente,6852881.33
2016/11,Indenizações e Restituições,1557052.27
2016/11,Locação de Mão-de-Obra,125938.5
2016/11,Material de Consumo,3237652.4000000004
2016/11,"Material, Bem ou Serviço para Distribuição",0.0
2016/11,Obras e Instalações,1261641.01
2016/11,Outros Auxílios Financeiros a Pessoas Físic,1922947.6199999999
2016/11,Outros Serviços de Terceiros - Pessoa Físic,272005.02
2016/11,Outros Serviços de Terceiros - Pessoa Juríd,11510712.440000001
2016/11,Passagens e Despesas com Locomoção,132245.3
2016/11,Serviços de Consultoria,0.0
2016/12,Auxílio Financeiro a Estudantes,87380.33
2016/12,Auxílio Financeiro a Pesquisadores,308745.22
2016/12,Contribuições,-880.17
2016/12,Despesas de Exercícios Anteriores,1857737.85
2016/12,Diárias - Civil,-834678.52
2016/12,Equipamentos e Material Permanente,1266284.3
2016/12,Indenizações e Restituições,1134796.8699999999
2016/12,Locação de Mão-de-Obra,-0.02
2016/12,Material de Consumo,119275.11
2016/12,"Material, Bem ou Serviço para Distribuição",0.0
2016/12,Obras e Instalações,0.0
2016/12,Outros Auxílios Financeiros a Pessoas Físic,-27649.850000000002
2016/12,Outros Serviços de Terceiros - Pessoa Físic,-144544.81999999998
2016/12,Outros Serviços de Terceiros - Pessoa Juríd,-766514.2300000001
2016/12,Passagens e Despesas com Locomoção,-147403.66999999998
2017/01,Auxílio Financeiro a Estudantes,1663797.0
2017/01,Auxílio Financeiro a Pesquisadores,0.0
2017/01,Contribuições,10000.67
2017/01,Despesas de Exercícios Anteriores,615051.4199999999
2017/01,Diárias - Civil,58102.0
2017/01,Equipamentos e Material Permanente,0.0
2017/01,Indenizações e Restituições,1817723.43
2017/01,Locação de Mão-de-Obra,312969.25
2017/01,Material de Consumo,50000.0
2017/01,Obras e Instalações,0.0
2017/01,Outros Auxílios Financeiros a Pessoas Físic,872572.6599999999
2017/01,Outros Serviços de Terceiros - Pessoa Físic,45736.26
2017/01,Outros Serviços de Terceiros - Pessoa Juríd,3172813.43
2017/01,Passagens e Despesas com Locomoção,17900.0
2017/02,Auxílio Financeiro a Estudantes,2970695.6
2017/02,Auxílio Financeiro a Pesquisadores,0.0
2017/02,Contribuições,2750.0
2017/02,Despesas de Exercícios Anteriores,156114.81
2017/02,Diárias - Civil,79248.0
2017/02,Equipamentos e Material Permanente,0.0
2017/02,Indenizações e Restituições,1189432.66
2017/02,Locação de Mão-de-Obra,0.0
2017/02,Material de Consumo,82225.26
2017/02,Obras e Instalações,0.0
2017/02,Outros Auxílios Financeiros a Pessoas Físic,869242.23
2017/02,Outros Serviços de Terceiros - Pessoa Físic,229959.32
2017/02,Outros Serviços de Terceiros - Pessoa Juríd,1767315.91
2017/02,Passagens e Despesas com Locomoção,156180.0
