ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2015/11,Locação de Mão-de-Obra,0.0
2015/11,Material de Consumo,5239497.185118359
2015/11,"Material, Bem ou Serviço para Distribuição",0.0
2015/11,Obras e Instalações,306932.17729555443
2015/11,Outros Auxílios Financeiros a Pessoas Físic,1753067.2216438786
2015/11,Outros Serviços de Terceiros - Pessoa Físic,870076.7260074824
2015/11,Outros Serviços de Terceiros - Pessoa Juríd,22264835.01162017
2015/11,Passagens e Despesas com Locomoção,-65465.59050320754
2015/12,Auxílio Financeiro a Estudantes,-1366920.499804147
2015/12,Auxílio Financeiro a Pesquisadores,62194.42358067911
2015/12,Contribuições,0.0
2015/12,Despesas de Exercícios Anteriores,265270.8222023649
2015/12,Diárias - Civil,-956959.5891619946
2015/12,Equipamentos e Material Permanente,0.0
2015/12,Indenizações e Restituições,1469384.3603691824
2015/12,Locação de Mão-de-Obra,0.0
2015/12,Material de Consumo,-69559.8113570152
2015/12,"Material, Bem ou Serviço para Distribuição",0.0
2015/12,Obras e Instalações,0.0
2015/12,Outros Auxílios Financeiros a Pessoas Físic,-47850.6604156976
2015/12,Outros Serviços de Terceiros - Pessoa Físic,-155163.93316522634
2015/12,Outros Serviços de Terceiros - Pessoa Juríd,-124856.09074105807
2015/12,Passagens e Despesas com Locomoção,-579962.905072588
2016/01,Auxílio Financeiro a Estudantes,1612340.611353712
2016/01,Auxílio Financeiro a Pesquisadores,0.0
2016/01,Contribuições,0.0
2016/01,Despesas de Exercícios Anteriores,90378.11728418124
2016/01,Diárias - Civil,40619.04892719709
2016/01,Equipamentos e Material Permanente,0.0
2016/01,Indenizações e Restituições,2858304.595153432
2016/01,Locação de Mão-de-Obra,476240.55930689216
2016/01,Material de Consumo,0.0
2016/01,Obras e Instalações,0.0
2016/01,Outros Auxílios Financeiros a Pessoas Físic,1313289.971570668
2016/01,Outros Serviços de Terceiros - Pessoa Físic,3136.545844935311
2016/01,Outros Serviços de Terceiros - Pessoa Juríd,3128948.569129472
2016/01,Passagens e Despesas com Locomoção,69768.63916769042
2016/02,Auxílio Financeiro a Estudantes,3093132.1335473666
2016/02,Auxílio Financeiro a Pesquisadores,0.0
2016/02,Contribuições,22271.389345440606
2016/02,Despesas de Exercícios Anteriores,150215.00125784657
2016/02,Diárias - Civil,748228.9634146341
2016/02,Equipamentos e Material Permanente,0.0
2016/02,Indenizações e Restituições,1807326.7707484786
2016/02,Locação de Mão-de-Obra,1612791.0757103837
2016/02,Material de Consumo,607229.9446547511
2016/02,"Material, Bem ou Serviço para Distribuição",0.0
2016/02,Obras e Instalações,110515.65320571182
2016/02,Outros Auxílios Financeiros a Pessoas Físic,588667.6052997268
2016/02,Outros Serviços de Terceiros - Pessoa Físic,297352.25517514016
2016/02,Outros Serviços de Terceiros - Pessoa Juríd,5987971.176841247
2016/02,Passagens e Despesas com Locomoção,627858.2922995831
2016/03,Auxílio Financeiro a Estudantes,3608628.7953380235
2016/03,Auxílio Financeiro a Pesquisadores,35480.01700311434
2016/03,Contribuições,0.0
2016/03,Despesas de Exercícios Anteriores,151166.06188786618
2016/03,Diárias - Civil,72084.02985738203
2016/03,Equipamentos e Material Permanente,0.0
2016/03,Indenizações e Restituições,1797223.6146354738
2016/03,Locação de Mão-de-Obra,5329249.682724923
2016/03,Material de Consumo,972003.8163175678
2016/03,"Material, Bem ou Serviço para Distribuição",0.0
2016/03,Obras e Instalações,0.0
2016/03,Outros Auxílios Financeiros a Pessoas Físic,939286.1742667408
2016/03,Outros Serviços de Terceiros - Pessoa Físic,523208.07264710724
2016/03,Outros Serviços de Terceiros - Pessoa Juríd,24191722.250378445
2016/03,Passagens e Despesas com Locomoção,138079.40236980905
2016/04,Auxílio Financeiro a Estudantes,10344557.821860079
2016/04,Auxílio Financeiro a Pesquisadores,1026002.7731970985
2016/04,Contribuições,0.0
2016/04,Despesas de Exercícios Anteriores,153902.94145891938
2016/04,Diárias - Civil,149600.21340576196
2016/04,Equipamentos e Material Permanente,172306.9972602149
2016/04,Indenizações e Restituições,1776307.49065757
2016/04,Locação de Mão-de-Obra,-9792.446708916696
2016/04,Material de Consumo,303672.22422802076
2016/04,Obras e Instalações,0.0
2016/04,Outros Auxílios Financeiros a Pessoas Físic,1819296.8583869543
2016/04,Outros Serviços de Terceiros - Pessoa Físic,400207.6776721527
2016/04,Outros Serviços de Terceiros - Pessoa Juríd,2055564.2223116797
2016/04,Passagens e Despesas com Locomoção,157191.95740507214
2016/05,Auxílio Financeiro a Estudantes,6277804.40074606
2016/05,Auxílio Financeiro a Pesquisadores,647275.5554272197
2016/05,Contribuições,1427.6238816058249
2016/05,Despesas de Exercícios Anteriores,381344.14231920143
2016/05,Diárias - Civil,780074.9513927657
2016/05,Equipamentos e Material Permanente,650180.5118389898
2016/05,Indenizações e Restituições,2041422.2341339355
2016/05,Locação de Mão-de-Obra,3896107.6499316613
2016/05,Material de Consumo,640517.4117840192
2016/05,"Material, Bem ou Serviço para Distribuição",32989.94271832616
2016/05,Obras e Instalações,0.0
2016/05,Outros Auxílios Financeiros a Pessoas Físic,1362803.1356361078
2016/05,Outros Serviços de Terceiros - Pessoa Físic,2356811.5048093894
2016/05,Outros Serviços de Terceiros - Pessoa Juríd,3132742.0792613416
2016/05,Passagens e Despesas com Locomoção,903564.9031512889
2016/06,Auxílio Financeiro a Estudantes,1939833.310988386
2016/06,Auxílio Financeiro a Pesquisadores,58116.58734032599
2016/06,Contribuições,0.0
2016/06,Despesas de Exercícios Anteriores,546673.9209692237
2016/06,Diárias - Civil,442613.5076594502
2016/06,Equipamentos e Material Permanente,322746.30579931324
2016/06,Indenizações e Restituições,2034534.078176055
2016/06,Locação de Mão-de-Obra,203217.33036987463
2016/06,Material de Consumo,1907946.3437747117
2016/06,Obras e Instalações,0.0
2016/06,Outros Auxílios Financeiros a Pessoas Físic,1324701.9397059418
2016/06,Outros Serviços de Terceiros - Pessoa Físic,647697.7879940489
2016/06,Outros Serviços de Terceiros - Pessoa Juríd,16686699.033030381
2016/06,Passagens e Despesas com Locomoção,518614.86937264336
2016/07,Auxílio Financeiro a Estudantes,9845193.856751181
2016/07,Auxílio Financeiro a Pesquisadores,0.0
2016/07,Contribuições,0.0
2016/07,Despesas de Exercícios Anteriores,371916.75794689986
2016/07,Diárias - Civil,468810.7838884307
2016/07,Equipamentos e Material Permanente,391465.05104442546
2016/07,Indenizações e Restituições,2015702.2090154986
2016/07,Locação de Mão-de-Obra,1393422.223672018
2016/07,Material de Consumo,643898.8103123629
2016/07,Obras e Instalações,0.0
2016/07,Outros Auxílios Financeiros a Pessoas Físic,1338836.7582214975
2016/07,Outros Serviços de Terceiros - Pessoa Físic,611867.2817669249
